,"(-2.094278, 57.15736)","(-3.2429, 55.79216)","(-6.654558, 54.353728)","(-5.974944, 54.572586)","(-5.928833, 54.59965)","(-1.830583, 52.511722)","(-1.875024, 52.47609)","(-4.041924, 51.074793)","(-2.583975, 51.457968)","(-2.584482, 51.462839)","(-2.293772, 53.559029)","(-0.175269, 51.54421)","(-3.17625, 51.48178)","(-2.945307, 54.894834)","(0.54797, 51.374264)","(-1.438228, 51.149617)","(-1.454946, 53.244131)","(-2.678731, 51.638094)","(-1.456944, 53.231722)","(-0.125889, 51.52229)","(-1.490082, 52.407708)","(-7.331179, 55.002818)","(-0.265617, 51.51895)","(-1.358547, 54.516667)","(-2.334139, 53.48481)","(-3.182186, 55.945589)","(-4.238214, 55.860936)","(-4.734421, 55.944079)","(-4.243631, 55.865782)","(-3.704399, 56.010319)","(0.439548, 51.518167)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.533119, 52.28881)","(-1.542911, 52.294884)","(-1.576361, 53.819972)","(-1.546472, 53.80378)","(-1.124228, 52.638677)","(-2.844333, 53.34633)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(1.301976, 52.614193)","(-1.146447, 52.95473)","(-2.977281, 51.601203)","(-1.188851, 52.969377)","(-1.260278, 51.744806)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-3.770822, 51.58395)","(-0.944067, 51.45309)","(-0.940382, 51.454896)","(0.634889, 51.45617)","(-1.463484, 50.920265)","(-4.227678, 50.411463)","(-0.636811, 53.58634)","(-0.300306, 52.132417)","(-1.478096, 53.378622)","(-2.742134, 53.451826)","(-0.05955, 51.480499)","(-1.395778, 50.90814)","(-2.111898, 52.980436)","(-0.449548, 50.916932)","(-3.947374, 51.632696)","(0.317969, 51.47707)","(-2.615358, 53.38928)","(-3.002778, 53.04222)","(-1.086514, 53.967513)","(-1.075861, 53.951889)"
2017-01-02T00:00:00Z,11,0,14,17,13,9,10,9,0,8,18,7,8,6,13,12,7,10,8,9,0,21,12,23,10,0,10,8,11,8,10,4,9,8,11,12,11,10,0,16,17,6,9,10,11,8,0,4,10,5,11,8,9,0,9,6,9,13,8,0,10,0,8,11,8,9,9,10,13,10
2017-01-02T01:00:00Z,10,0,13,8,9,5,9,10,0,8,17,10,9,8,10,9,10,12,9,11,0,21,14,-3,10,0,16,8,14,9,10,0,14,6,7,10,11,9,0,8,0,8,11,8,11,7,0,7,9,8,0,8,7,0,9,7,12,14,11,0,9,0,6,9,7,8,9,0,11,11
2017-01-02T02:00:00Z,6,0,13,16,9,4,6,9,0,12,18,6,10,9,13,8,14,13,11,9,0,16,14,19,16,0,11,7,11,8,10,0,8,9,5,10,8,6,0,11,0,7,10,9,12,7,0,6,4,8,0,6,8,0,8,8,8,13,16,0,9,0,8,10,9,9,12,0,16,9
2017-01-02T03:00:00Z,5,0,15,14,8,3,0,10,0,12,12,9,11,10,11,8,13,12,12,11,0,13,14,11,12,0,11,8,11,10,9,0,9,8,7,8,6,9,0,9,0,2,15,11,11,11,0,7,8,8,0,7,9,0,9,9,10,12,13,0,10,0,4,11,9,7,7,0,8,3
2017-01-02T04:00:00Z,9,0,10,13,10,15,16,5,0,10,8,9,7,7,9,11,11,11,7,7,0,10,16,7,10,0,8,8,14,8,10,0,10,10,12,7,7,11,0,8,0,6,12,11,11,10,0,5,7,11,0,6,10,0,9,7,7,12,10,0,12,0,4,10,9,9,9,0,8,3
2017-01-02T05:00:00Z,5,0,11,12,11,10,20,12,0,10,4,13,14,11,15,15,9,12,6,11,0,6,15,4,10,0,8,8,14,6,16,0,11,2,3,11,7,13,0,9,0,6,11,6,13,7,0,5,9,10,0,9,13,0,8,9,8,13,11,0,13,0,11,9,15,9,10,0,8,5
2017-01-02T06:00:00Z,7,0,13,12,13,7,4,7,0,9,14,14,14,9,18,8,11,14,6,10,0,6,18,6,12,0,13,6,12,4,16,0,17,7,7,4,10,10,0,9,0,8,9,13,13,9,0,7,8,10,0,6,12,0,10,9,9,13,11,0,17,0,11,11,15,9,7,0,8,6
2017-01-02T07:00:00Z,6,0,13,19,14,10,15,2,0,10,9,15,14,8,19,10,8,15,6,11,0,4,17,6,13,0,14,5,11,6,13,0,12,14,7,10,11,16,0,10,0,6,10,13,12,10,0,11,7,9,0,10,13,0,8,11,7,14,12,0,18,0,24,17,17,10,12,0,9,8
2017-01-02T08:00:00Z,5,0,13,13,14,11,15,16,0,11,13,17,14,10,14,11,10,17,11,15,0,7,16,7,13,0,12,5,8,6,13,0,12,9,5,9,10,13,0,10,0,5,7,10,15,7,0,12,8,16,0,9,14,0,10,12,5,11,12,0,17,0,8,0,15,13,8,0,8,4
2017-01-02T09:00:00Z,6,0,13,15,8,11,11,16,0,12,15,21,14,13,19,10,8,10,10,18,0,6,18,8,16,0,10,5,10,6,16,0,12,10,13,9,10,13,0,10,0,6,13,12,15,9,0,12,13,15,0,10,18,0,13,16,6,18,11,0,17,0,19,0,14,11,9,0,11,12
2017-01-02T10:00:00Z,7,0,18,13,4,12,12,15,0,13,14,19,13,15,17,11,13,14,12,14,0,8,20,9,15,0,10,7,7,8,16,0,12,14,10,9,9,11,0,9,0,6,12,14,17,15,0,11,13,13,0,9,17,0,11,17,10,14,13,0,14,0,23,15,18,14,13,0,8,6
2017-01-02T11:00:00Z,6,0,17,14,4,19,9,20,0,11,16,26,15,10,15,12,8,16,9,14,0,10,22,18,14,0,11,7,11,6,13,0,16,12,12,8,9,14,0,8,0,6,8,15,14,19,0,12,14,15,0,13,20,0,11,23,10,15,11,0,30,0,34,18,14,16,12,0,7,6
2017-01-02T12:00:00Z,7,0,19,15,7,13,16,39,0,13,18,31,19,15,17,12,8,15,5,15,0,19,19,10,18,0,12,5,11,6,13,0,11,14,14,12,10,18,0,8,0,4,7,15,15,14,0,12,13,14,0,12,11,0,11,23,8,13,11,0,24,0,29,18,16,15,11,0,8,6
2017-01-02T13:00:00Z,7,0,21,16,10,9,7,42,0,11,18,31,18,13,16,12,8,18,12,16,0,19,22,10,14,0,10,6,8,6,15,0,0,16,16,18,12,21,0,7,0,8,7,19,16,35,0,11,17,11,0,11,11,0,13,22,6,15,14,0,32,0,20,19,18,16,13,0,8,8
2017-01-02T14:00:00Z,7,0,28,25,13,12,15,28,0,14,16,27,20,9,14,11,12,15,19,14,0,10,19,13,16,0,11,4,10,4,15,0,10,18,16,11,11,24,0,7,0,8,11,22,16,28,0,11,14,12,0,9,16,0,10,20,6,18,13,0,33,0,14,22,18,11,13,0,7,6
2017-01-02T15:00:00Z,6,0,44,21,12,19,17,34,0,15,22,22,19,13,13,14,9,13,21,12,0,10,21,4,16,0,14,3,9,7,12,0,11,16,18,9,16,26,0,8,0,5,10,26,18,40,0,10,12,18,0,11,20,0,11,21,7,16,17,0,29,0,31,22,17,12,9,0,12,9
2017-01-02T16:00:00Z,6,0,44,29,13,24,28,40,0,24,21,24,23,15,17,18,15,20,25,13,0,12,25,5,16,0,11,3,9,7,22,0,15,18,24,10,15,36,0,9,0,4,13,31,21,38,0,9,16,17,0,11,19,0,15,24,11,14,15,0,21,0,42,32,23,14,15,0,16,11
2017-01-02T17:00:00Z,6,0,70,25,9,28,13,21,0,43,13,22,31,20,22,28,13,19,22,13,0,14,27,4,19,0,11,3,7,5,17,0,16,20,31,14,19,35,0,13,0,6,16,27,24,27,0,12,14,15,0,15,24,0,18,20,16,18,12,0,33,0,49,40,19,13,18,0,13,13
2017-01-02T18:00:00Z,4,0,88,17,8,30,16,25,0,55,14,25,30,13,22,21,13,26,17,16,0,22,27,3,22,0,12,3,12,4,18,0,23,22,38,12,20,37,0,14,0,6,17,32,33,29,0,13,15,14,0,18,22,0,19,17,15,22,13,0,26,0,49,34,23,22,20,0,13,17
2017-01-02T19:00:00Z,4,0,87,24,11,24,25,24,0,112,16,25,26,21,25,20,11,29,17,18,0,8,26,5,21,0,11,3,10,4,18,0,25,26,37,15,18,35,0,14,0,8,17,34,39,32,0,12,12,16,0,23,28,0,21,14,18,26,10,0,26,0,48,28,43,19,20,0,17,18
2017-01-02T20:00:00Z,2,0,66,36,13,24,18,27,0,111,10,26,32,16,29,19,14,30,17,18,0,14,32,2,26,0,8,2,7,3,23,0,28,27,39,14,14,42,0,26,0,7,17,34,38,41,0,13,22,15,0,30,31,0,37,13,19,27,8,0,24,0,61,38,28,23,18,0,16,20
2017-01-02T21:00:00Z,1,0,49,31,22,23,24,24,0,70,22,29,30,13,26,19,18,21,13,23,0,40,35,3,31,0,8,1,6,1,23,0,30,26,35,9,11,31,0,13,0,8,16,26,40,31,0,12,25,18,0,28,26,0,45,17,18,26,12,0,21,0,38,29,31,26,22,0,19,16
2017-01-02T22:00:00Z,0,0,26,34,23,17,18,27,0,71,30,31,24,9,26,19,17,13,14,22,0,13,48,5,39,0,3,2,3,3,25,0,31,29,34,7,10,30,0,8,0,4,17,26,37,29,0,10,18,18,0,28,27,0,43,21,13,24,10,0,33,0,38,24,30,24,23,0,11,14
2017-01-02T23:00:00Z,3,0,32,13,17,14,26,19,0,66,37,31,21,5,28,20,12,14,9,24,0,12,43,7,36,0,5,2,3,4,23,0,30,25,31,10,9,26,0,4,0,5,14,29,34,29,0,14,15,21,0,26,23,0,30,21,12,22,6,0,31,0,21,23,28,26,22,0,11,7
2017-01-03T00:00:00Z,2,0,24,12,10,13,12,19,0,108,44,27,19,2,30,19,11,10,13,23,0,12,34,7,31,0,6,1,2,0,22,6,30,24,24,10,9,24,0,5,28,4,20,25,29,25,0,14,11,0,9,21,19,0,27,16,11,21,9,0,28,0,17,0,28,26,25,5,6,3
2017-01-03T01:00:00Z,2,0,9,11,6,11,5,16,0,90,38,27,17,4,25,18,15,11,15,20,0,7,30,7,33,0,4,2,9,4,30,0,26,22,21,12,10,19,0,5,0,2,15,27,25,23,0,5,11,0,0,22,11,0,23,18,11,26,12,0,24,0,16,0,17,22,19,0,8,2
2017-01-03T02:00:00Z,2,0,5,11,8,11,9,15,0,70,25,26,14,3,22,16,20,11,16,20,0,4,30,8,19,0,2,1,4,2,28,0,24,18,24,10,11,18,0,6,0,-2,16,19,23,17,0,5,13,0,0,15,11,0,19,16,7,24,13,0,24,0,11,0,12,22,9,0,5,8
2017-01-03T03:00:00Z,1,0,4,11,9,10,12,15,0,59,6,22,11,5,17,13,14,8,10,20,0,5,23,4,15,0,1,1,3,3,25,0,23,17,17,5,9,14,0,1,0,0,18,16,17,14,0,6,12,0,0,15,15,0,19,17,10,23,9,0,16,0,11,11,17,23,8,0,8,8
2017-01-03T04:00:00Z,2,0,3,10,5,6,7,11,0,36,12,21,13,1,20,13,8,6,7,17,0,5,23,3,8,0,-2,1,5,0,22,0,19,12,13,3,8,9,0,0,0,1,19,15,20,11,0,7,6,0,0,16,11,0,18,16,8,20,9,0,18,0,8,0,17,21,8,0,4,5
2017-01-03T05:00:00Z,0,0,3,7,7,5,10,15,0,33,7,17,10,5,19,8,6,9,5,16,0,4,23,3,9,0,1,2,5,2,22,0,20,13,14,6,6,13,0,0,0,2,17,14,25,9,0,6,11,0,0,12,11,0,19,16,9,21,7,0,18,0,7,14,14,20,7,0,12,6
2017-01-03T06:00:00Z,2,0,5,7,5,8,12,14,0,40,6,17,10,2,18,12,5,15,5,13,0,5,25,3,10,0,1,1,4,2,23,0,19,6,12,8,7,11,0,1,0,-1,17,12,22,8,0,7,8,0,0,10,13,0,18,18,11,18,6,0,12,0,12,22,11,17,7,0,8,2
2017-01-03T07:00:00Z,4,0,9,10,4,10,9,18,0,40,9,18,11,7,19,13,5,29,6,13,0,4,36,3,9,0,3,1,5,2,21,0,20,11,11,7,8,18,0,1,0,0,17,12,26,13,0,5,12,0,0,12,8,0,27,21,7,16,6,0,14,0,13,34,17,15,7,0,6,6
2017-01-03T08:00:00Z,4,0,10,14,7,9,18,0,0,47,12,19,10,9,18,12,7,19,9,14,0,4,29,19,9,0,2,1,3,-1,18,0,17,10,10,7,12,16,0,3,0,1,18,16,29,11,0,6,14,0,0,8,8,0,30,29,7,14,9,0,16,0,12,32,15,14,7,0,11,7
2017-01-03T09:00:00Z,5,0,10,13,5,10,16,30,0,53,8,22,16,4,15,10,5,22,4,15,0,5,28,6,11,0,0,2,5,2,19,0,21,8,11,4,6,15,0,4,0,2,13,13,31,14,0,4,16,0,0,12,14,0,29,23,9,16,11,0,15,0,11,30,20,17,7,0,6,6
2017-01-03T10:00:00Z,6,0,13,12,7,10,0,20,0,58,12,23,27,8,11,11,6,25,6,21,0,2,27,6,7,0,6,1,3,-1,16,0,21,10,12,6,10,25,0,7,0,3,11,12,18,13,0,8,18,0,0,11,15,21,36,25,7,14,9,0,17,0,13,21,13,16,8,0,5,3
2017-01-03T11:00:00Z,3,0,10,23,4,9,0,24,0,20,9,18,30,12,13,12,4,22,42,14,0,2,21,7,10,0,2,1,8,5,14,0,14,10,13,8,6,13,0,5,0,-1,10,13,18,14,0,8,0,0,0,10,17,0,32,31,7,16,9,0,17,0,10,15,16,16,10,0,10,9
2017-01-03T12:00:00Z,4,0,13,16,6,8,0,34,0,16,12,17,20,10,16,16,2,23,56,16,0,3,21,8,12,0,6,3,2,2,0,0,17,9,12,6,6,13,0,0,0,3,11,19,20,14,0,9,0,0,0,13,18,0,34,24,5,16,7,0,24,0,10,22,19,16,12,0,6,7
2017-01-03T13:00:00Z,3,0,11,20,5,9,0,29,0,10,14,18,19,3,19,12,6,18,12,0,0,2,22,6,11,0,3,3,2,2,18,0,16,11,12,5,8,18,0,3,0,2,9,22,13,13,0,2,0,0,0,10,17,0,39,16,5,14,10,0,16,0,8,19,18,14,10,0,13,7
2017-01-03T14:00:00Z,4,0,7,15,3,7,0,0,0,9,12,10,9,4,18,10,6,14,61,0,0,3,13,2,13,0,5,2,5,0,17,0,10,10,9,7,8,19,0,2,0,1,12,16,10,10,0,3,0,0,0,13,17,0,37,11,8,15,8,0,27,0,12,16,13,14,8,0,0,4
2017-01-03T15:00:00Z,4,0,7,15,7,8,0,21,0,9,12,10,12,8,17,25,4,15,15,0,0,5,16,0,11,0,7,3,6,2,0,0,10,9,11,4,4,15,0,0,0,1,11,18,12,12,0,5,0,0,0,17,18,9,28,15,6,12,5,0,18,0,11,18,10,10,10,0,5,5
2017-01-03T16:00:00Z,3,0,8,13,5,8,0,16,0,7,11,12,10,5,16,12,9,24,14,0,0,6,20,1,10,0,5,3,8,1,0,0,9,9,11,6,5,15,0,2,0,-2,12,16,11,12,0,6,0,0,0,16,16,4,22,21,6,14,6,0,16,0,10,18,11,8,9,0,5,4
2017-01-03T17:00:00Z,4,0,7,20,5,8,0,12,0,11,11,16,8,6,15,12,6,19,8,0,0,13,19,4,8,0,9,3,4,3,0,0,18,8,12,3,6,15,0,4,0,3,11,19,12,15,0,5,0,0,0,19,20,8,23,19,3,14,8,0,15,0,16,18,14,12,7,0,5,6
2017-01-03T18:00:00Z,9,0,15,14,7,10,0,11,0,8,9,19,15,9,18,10,5,21,8,0,0,6,20,3,8,0,5,3,2,2,0,0,16,10,17,6,7,13,0,5,0,2,13,10,11,13,0,8,0,0,0,19,19,14,24,18,5,14,7,0,18,0,11,17,14,12,8,0,10,4
2017-01-03T19:00:00Z,12,0,30,16,7,5,0,14,0,5,8,16,13,5,9,12,8,18,6,0,0,7,19,4,8,0,6,4,4,0,0,0,15,10,14,8,6,12,0,1,0,0,14,10,14,9,0,7,0,0,0,14,17,11,24,17,2,10,7,0,17,0,10,23,7,17,8,0,11,2
2017-01-03T20:00:00Z,17,0,11,14,6,9,0,11,0,9,6,15,11,9,15,11,9,23,9,0,0,4,20,4,7,0,4,3,6,2,20,0,17,7,12,5,8,9,0,3,0,1,12,10,13,10,0,8,0,0,0,15,15,13,13,20,6,14,9,0,15,0,11,15,8,16,10,0,4,7
2017-01-03T21:00:00Z,16,0,17,14,11,7,0,0,0,8,7,12,13,2,17,9,7,15,7,0,0,5,14,2,8,0,5,5,4,0,12,0,13,9,10,2,9,14,13,1,0,0,13,8,11,8,0,5,0,0,0,13,16,14,11,13,5,12,6,0,12,0,10,18,9,13,8,0,6,4
2017-01-03T22:00:00Z,14,0,16,11,4,7,0,10,0,9,5,16,13,4,16,7,5,11,8,0,0,5,17,2,10,0,7,5,2,3,0,0,12,7,9,3,10,9,10,2,0,1,12,9,16,8,0,8,0,0,0,6,9,13,14,8,5,11,8,0,14,0,11,12,13,11,11,0,8,3
