,"(-2.094278, 57.15736)","(-3.2429, 55.79216)","(-1.829999, 52.437165)","(-5.928833, 54.59965)","(0.184806, 51.46603)","(-1.875024, 52.47609)","(-3.007175, 53.80489)","(-1.918235, 52.481346)","(-1.826744, 50.73957)","(-4.041924, 51.074793)","(-2.584482, 51.462839)","(-0.175269, 51.54421)","(-3.17625, 51.48178)","(-2.945307, 54.894834)","(0.54797, 51.374264)","(-1.438228, 51.149617)","(-1.780888, 50.735454)","(-1.454946, 53.244131)","(-2.678731, 51.638094)","(-1.456944, 53.231722)","(-0.125889, 51.52229)","(-1.560228, 52.411563)","(-7.331179, 55.002818)","(-1.358547, 54.516667)","(0.271611, 50.805778)","(-2.334139, 53.48481)","(-3.182186, 55.945589)","(-4.238214, 55.860936)","(-4.734421, 55.944079)","(-4.243631, 55.865782)","(-3.704399, 56.010319)","(0.439548, 51.518167)","(-0.131931, 51.49467)","(-0.441614, 51.48879)","(-0.341222, 53.74878)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.533119, 52.28881)","(-1.542911, 52.294884)","(-1.127311, 52.619823)","(-1.576361, 53.819972)","(-1.546472, 53.80378)","(-7.900328, 54.43951)","(0.070766, 51.45258)","(-2.844333, 53.34633)","(-2.237881, 53.48152)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(1.301976, 52.614193)","(-1.146447, 52.95473)","(-2.977281, 51.601203)","(-0.916605, 52.272257)","(-1.260278, 51.744806)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-2.680353, 53.76559)","(-3.770822, 51.58395)","(-0.944067, 51.45309)","(0.634889, 51.45617)","(-4.227678, 50.411463)","(-0.300306, 52.132417)","(0.678408, 51.544206)","(-1.455815, 53.40495)","(-1.478096, 53.378622)","(-1.3159, 54.565819)","(-1.395778, 50.90814)","(-2.175133, 53.02821)","(-1.406878, 54.88361)","(-3.947374, 51.632696)","(-0.345606, 51.425286)","(-3.022722, 53.37287)","(-2.615358, 53.38928)","(-2.638139, 53.54914)","(-3.002778, 53.04222)","(-0.379916, 50.832947)","(-1.086514, 53.967513)","(-1.075861, 53.951889)"
2019-01-02T08:00:00Z,4,5,17,10,7,13,0,22,8,6,15,9,12,6,7,20,11,2,13,6,7,9,13,8,9,10,8,6,7,6,7,6,9,7,7,5,7,9,8,8,8,0,3,10,8,8,4,0,5,8,0,11,9,11,7,5,12,10,7,4,6,7,8,5,13,7,9,10,10,5,13,9,8,17,0,0,9,4,5
2019-01-02T09:00:00Z,4,5,13,9,7,14,0,25,10,7,16,9,12,9,7,19,13,6,9,6,8,9,12,9,9,11,8,6,8,6,7,6,8,8,14,10,7,11,9,9,7,1,17,4,14,8,9,0,6,5,3,10,9,12,7,6,12,22,6,6,8,7,8,7,13,10,8,10,16,0,14,9,13,21,18,0,9,2,5
2019-01-02T10:00:00Z,5,5,12,10,8,15,0,25,19,6,18,10,16,9,5,16,20,8,17,7,7,8,14,11,8,16,6,7,7,7,8,6,7,8,8,8,7,12,12,9,7,1,7,8,15,16,8,7,6,5,4,11,7,11,7,7,12,18,8,6,9,5,11,10,11,7,9,8,14,13,15,7,13,24,14,0,8,5,0
2019-01-02T11:00:00Z,6,6,13,9,6,12,0,19,14,6,18,10,14,0,7,15,18,6,78,6,6,9,14,6,9,16,11,8,6,8,5,8,10,7,6,8,7,11,11,8,8,2,5,8,18,20,6,6,7,6,5,12,8,13,7,8,13,12,6,7,25,6,9,7,17,7,8,8,10,4,0,7,13,25,16,0,13,6,0
2019-01-02T12:00:00Z,4,5,6,12,8,21,0,11,16,6,15,10,15,10,9,10,0,8,17,6,6,10,15,8,8,17,11,9,9,9,4,6,10,6,7,7,6,14,15,8,8,2,8,6,0,23,6,7,9,4,4,14,7,12,7,8,10,15,7,6,19,7,8,6,12,8,7,8,9,2,0,6,15,26,29,0,10,8,5
2019-01-02T13:00:00Z,5,6,4,12,8,14,0,6,30,6,13,9,12,11,7,4,0,-1,11,7,10,6,8,10,6,22,10,10,10,9,4,7,6,5,10,7,6,16,14,8,16,2,11,5,0,16,8,6,7,5,3,13,8,10,8,8,9,14,8,6,9,6,7,6,10,10,8,7,7,5,0,6,22,28,15,0,11,4,6
2019-01-02T14:00:00Z,6,6,7,11,7,13,0,6,9,3,10,13,13,11,7,6,15,6,10,6,5,6,10,8,6,18,10,12,10,12,21,6,8,5,8,12,6,9,7,10,8,3,9,4,25,13,7,7,6,4,4,12,7,4,7,9,13,15,8,4,13,5,7,9,0,10,6,4,6,10,0,4,19,19,9,0,14,7,6
2019-01-02T15:00:00Z,5,6,5,14,7,19,0,6,13,4,7,13,7,12,8,5,17,7,8,10,2,7,14,7,8,18,13,12,10,12,13,9,10,6,9,13,7,4,5,8,9,4,6,6,19,9,8,8,8,5,6,12,7,8,6,12,15,19,8,6,13,11,6,7,0,10,10,4,10,3,0,6,10,27,7,0,11,8,6
2019-01-02T16:00:00Z,9,7,10,12,9,8,0,17,8,7,9,14,9,18,15,6,16,6,15,28,5,8,25,10,9,19,11,10,12,10,17,9,6,5,10,14,6,6,6,7,6,4,6,4,11,15,8,-2,7,8,4,14,8,6,7,10,15,17,23,6,15,8,10,11,0,10,12,8,20,3,0,6,5,17,11,0,7,15,11
2019-01-02T17:00:00Z,19,7,14,14,6,11,0,17,9,9,12,14,9,28,9,6,14,4,11,14,8,11,28,10,13,17,16,10,11,12,17,12,8,6,14,16,8,13,16,7,13,4,5,10,10,15,6,8,8,8,3,9,9,9,7,13,12,19,11,5,9,22,15,10,17,10,10,9,22,4,16,9,11,14,12,0,11,13,12
2019-01-02T18:00:00Z,26,7,11,16,7,13,0,16,11,12,14,13,9,36,12,7,14,10,20,14,6,12,32,11,13,19,13,11,12,11,10,11,10,6,9,20,8,13,12,5,15,5,4,12,17,15,6,12,8,11,8,10,13,8,9,13,17,19,10,9,10,16,11,10,24,13,15,12,24,9,25,10,24,10,17,0,12,17,12
2019-01-02T19:00:00Z,30,6,8,19,9,12,0,15,11,13,9,11,14,59,15,10,12,8,10,15,10,14,26,8,19,17,14,13,12,12,16,10,10,7,11,13,8,12,13,6,7,10,3,7,13,16,8,11,6,15,9,9,12,10,10,15,19,17,11,9,10,14,10,15,15,13,14,13,27,4,33,11,20,7,17,0,12,20,17
2019-01-02T20:00:00Z,18,6,12,18,10,12,0,16,11,14,9,13,14,28,16,13,14,5,15,21,9,13,26,18,20,15,14,14,12,13,12,11,10,9,9,11,9,12,13,7,11,8,5,8,16,13,13,11,7,14,13,10,13,10,9,14,18,15,8,9,10,15,10,12,22,14,13,11,22,3,18,9,26,8,15,0,12,20,18
2019-01-02T21:00:00Z,15,6,12,15,10,15,0,17,9,8,8,11,10,33,14,10,18,13,10,16,10,12,29,8,19,14,14,14,13,17,13,10,12,10,12,11,8,11,12,7,11,1,8,12,19,12,12,10,9,10,13,12,9,12,9,13,15,20,9,12,9,13,10,12,20,15,16,12,25,9,17,11,19,8,8,0,26,16,12
2019-01-02T22:00:00Z,14,6,10,12,11,16,0,18,12,15,10,10,13,26,9,10,19,7,12,15,10,13,18,13,21,14,16,15,12,16,16,9,10,9,11,12,8,12,14,6,8,2,9,8,20,14,9,12,7,8,10,10,9,14,9,11,15,19,9,6,9,11,12,10,24,15,8,12,22,6,18,11,20,11,20,0,20,13,10
2019-01-02T23:00:00Z,12,6,12,14,10,18,0,21,10,13,13,7,12,16,12,8,16,5,9,7,10,15,18,9,20,15,12,15,11,17,17,7,11,9,7,12,8,8,9,13,18,10,11,14,0,15,9,9,10,7,10,10,9,7,9,13,14,19,7,2,9,7,10,10,19,14,7,8,19,10,13,10,9,9,20,0,17,12,13
2019-01-03T00:00:00Z,8,6,18,13,14,18,0,21,10,11,10,6,13,22,12,8,11,3,9,7,7,16,14,6,14,15,11,12,11,14,17,9,8,7,6,9,8,8,10,10,14,12,9,12,0,17,6,10,8,6,8,10,8,6,9,10,12,20,9,6,10,10,10,9,19,12,8,2,17,3,11,9,6,10,24,0,10,11,10
2019-01-03T01:00:00Z,7,5,16,14,12,18,0,17,11,12,11,7,10,28,12,7,14,6,8,11,6,15,14,4,15,13,6,11,10,12,15,10,6,8,7,8,7,11,12,11,15,12,8,9,0,12,7,7,7,5,6,10,8,7,9,13,13,19,8,5,9,11,12,10,17,13,8,4,15,9,16,8,6,6,18,0,10,13,8
2019-01-03T02:00:00Z,5,4,15,12,10,18,0,20,9,9,12,6,9,32,12,4,13,6,19,9,6,12,13,4,17,11,8,10,10,11,17,12,8,7,11,8,6,14,14,11,18,14,12,13,0,7,5,8,5,5,4,10,12,10,9,11,12,17,10,3,12,14,8,12,18,14,7,6,15,0,10,7,8,11,14,0,10,12,6
2019-01-03T03:00:00Z,8,4,21,17,13,18,0,19,8,9,9,6,10,22,12,3,9,10,11,10,7,15,11,5,15,11,7,9,11,10,13,12,8,6,16,5,5,12,15,10,19,14,12,13,0,10,4,9,4,6,2,12,12,7,9,12,10,14,11,1,15,18,9,12,21,16,10,7,14,5,11,7,10,8,13,0,12,13,5
2019-01-03T04:00:00Z,4,4,21,18,18,18,0,16,9,8,7,4,10,2,15,4,9,4,10,12,6,13,10,5,16,12,6,7,11,7,11,14,7,5,11,6,6,12,13,10,17,11,12,12,0,12,7,6,5,4,6,12,10,9,9,8,10,16,10,2,14,22,12,12,21,19,8,7,12,-1,12,7,8,6,13,0,11,6,6
2019-01-03T05:00:00Z,5,4,17,16,12,19,0,17,6,9,8,6,10,2,15,5,8,6,9,14,5,16,12,5,16,15,5,5,10,6,17,16,9,4,7,7,5,16,12,13,17,12,12,8,0,11,7,9,4,4,7,11,10,7,9,11,10,15,10,3,14,10,10,13,25,17,6,6,12,3,12,6,12,8,15,0,13,6,4
2019-01-03T06:00:00Z,4,5,18,13,12,18,0,18,8,9,9,8,10,2,13,4,8,11,15,11,9,18,10,6,16,16,6,5,12,5,14,14,10,5,9,5,5,14,16,17,15,12,11,5,0,13,6,11,7,4,8,11,14,10,9,12,11,14,7,4,22,8,11,14,23,16,7,5,15,6,11,6,9,13,16,0,10,5,7
